Wall time,Step,Value
1768415922.3747087,482,132.6194305419922
1768415931.326978,483,146.9047393798828
1768415937.0790465,484,127.96835327148438
1768415945.8418803,485,132.47314453125
1768415955.4529366,486,143.60572814941406
1768415961.6845388,487,130.01788330078125
1768415964.7480903,488,105.341796875
1768415976.6751957,489,158.36485290527344
1768415979.1401896,490,106.6379165649414
1768415984.6105037,491,124.69271850585938
1768415996.922148,492,162.91796875
1768416001.5990837,493,120.65726470947266
1768416010.711009,494,137.4329071044922
1768416020.4791753,495,146.367919921875
1768416030.3515217,496,147.9488983154297
1768416036.4247,497,124.44315338134766
1768416045.8770945,498,148.43728637695312
1768416054.8293302,499,132.85891723632812
